minute,calls,unique_callers,top_caller_share,is_anomaly
0,21,7,0.18238442690503462,0
1,24,7,0.13829315215254095,0
2,24,9,0.1265262807032524,0
3,21,7,0.12671351232148714,0
4,20,5,0.06375410837434835,0
5,18,6,0.16571236662976369,0
6,17,5,0.2232824384460777,0
7,19,8,0.07876259068932716,0
8,18,8,0.09245032112888485,0
9,21,7,0.13541531251033614,0
10,18,10,0.1493251387631033,0
11,16,9,0.08895781750144888,0
12,20,5,0.08359069755507846,0
13,20,9,0.1585684140594985,0
14,19,7,0.07607390048162863,0
15,17,7,0.20285611131094577,0
16,21,5,0.16620419846973974,0
17,18,6,0.18058381444204338,0
18,23,9,0.10803912383886807,0
19,19,8,0.19877725635611795,0
20,18,7,0.09468325129969858,0
21,16,9,0.21781200142854112,0
22,19,9,0.1680818012523817,0
23,18,8,0.22690182832329847,0
24,19,10,0.05,0
25,22,8,0.13504963247670662,0
26,20,5,0.1390164056081244,0
27,21,10,0.12408648908631763,0
28,17,7,0.1957701058851037,0
29,20,7,0.1756633716556678,0
30,20,9,0.11489734530613238,0
31,19,7,0.07682425259339407,0
32,20,8,0.15025567283212304,0
33,19,5,0.12896773386173205,0
34,18,6,0.14193571441669953,0
35,21,10,0.15872889064159193,0
36,20,7,0.054061439235047914,0
37,19,8,0.2731621056242643,0
38,19,8,0.14826441151473782,0
39,16,9,0.1875966516343387,0
40,22,6,0.22013971554680495,0
41,15,8,0.25952278129049894,0
42,17,7,0.15498256825438206,0
43,18,5,0.15342814874030136,0
44,16,8,0.10402878828830983,0
45,24,6,0.13389692418971622,0
46,22,6,0.16137299673020647,0
47,23,5,0.1592316929266152,0
48,20,9,0.0881524644560959,0
49,16,8,0.1648492336616593,0
50,20,8,0.11599876392107544,0
51,20,8,0.11428242909868161,0
52,25,8,0.09043482513986756,0
53,21,6,0.1893542301871226,0
54,23,6,0.19816880646221607,0
55,21,9,0.24483964913269737,0
56,19,6,0.10552427851872383,0
57,17,7,0.1670575987408322,0
58,20,9,0.15065009459389533,0
59,24,7,0.28600845832948096,0
60,21,6,0.09645537509694438,0
61,21,7,0.1857000247046046,0
62,21,7,0.10766031409657975,0
63,15,7,0.19281993971617362,0
64,20,6,0.15865904629255909,0
65,21,6,0.1576862552972764,0
66,20,6,0.16788936801741416,0
67,21,9,0.20269010260174514,0
68,15,6,0.175751763360433,0
69,21,8,0.3426365745327361,0
70,21,9,0.19770008817466012,0
71,21,7,0.18794846102466337,0
72,17,7,0.12573182260854482,0
73,20,11,0.05663674037041258,0
74,22,5,0.12640340671052833,0
75,23,8,0.09611276110353469,0
76,17,9,0.11348166841414316,0
77,20,8,0.11741998261970914,0
78,26,8,0.05,0
79,20,7,0.19262166673981118,0
80,17,7,0.17524936394902285,0
81,22,6,0.13327493820795258,0
82,18,7,0.23827271201405484,0
83,21,6,0.1958930973527388,0
84,26,9,0.07403150170229932,0
85,18,9,0.11461652671906095,0
86,21,9,0.10365347642109585,0
87,19,3,0.09878061793328549,0
88,19,6,0.23162056519658175,0
89,15,7,0.15653702886430457,0
90,102,10,0.26739984642251613,1
91,131,8,0.17310517371316353,1
92,84,9,0.153044830355858,1
93,115,10,0.18310653372605235,1
94,103,8,0.2555658820808126,1
95,112,9,0.17941586032422882,1
96,137,9,0.16037991306428598,1
97,99,8,0.19248010485105121,1
98,87,11,0.22262751237311856,1
99,132,11,0.1814814420961806,1
100,96,11,0.1144936021036258,1
101,128,9,0.15586636916543908,1
102,102,8,0.20809686588733872,1
103,135,9,0.20493884259935952,1
104,125,9,0.1630811527986233,1
105,20,9,0.12384059532064451,0
106,22,7,0.19269873555339279,0
107,19,7,0.24561588199199852,0
108,23,5,0.1276613244105046,0
109,23,6,0.18853391647615556,0
110,22,6,0.14955914768770961,0
111,13,10,0.13454537454015392,0
112,22,8,0.2178940394049994,0
113,18,8,0.17795546013072638,0
114,22,9,0.12613091347123395,0
115,18,10,0.05,0
116,24,7,0.1497718585504852,0
117,17,7,0.21355691129904575,0
118,22,8,0.1544436503065872,0
119,15,6,0.13283993816844158,0
120,21,8,0.19917521531792326,0
121,21,8,0.26378806487836015,0
122,21,7,0.2429983503243465,0
123,23,10,0.14445340321852448,0
